REFERÈNDUM	D’AUTODETERMINACIÓ	DE	CATALUNYA													
Resultats	definitius															
																
																
	Nota.	Recompte	final	basat	en	paperetes	verificades	i	no	segrestades.						
RESULTATS	GLOBALS															
																
	Participació	Vots	Resultats	definitius												
	Cens	Votants	Particip.	Vàlids	Nuls	Sí	%	Sí	No	%	No	Blanc	%	Blc		
																
Catalunya	5.313.564	2.286.217	"43,03%"	2.266.498	19.719	2.044.038	"90,18%"	177.547	"7,83%"	44.913	"1,98%"					
																
																
DETALL	PER	TERRITORIS														
																
	Participació	Vots	Resultats	definitius												
	Cens	Votants	Particip.	Vàlids	Nuls	Sí	%	Sí	No	%	No	Blanc	%	Blc		
																
Demarcacions																
Barcelona	3.971.666	1.637.401	"41,23%"	1.622.139	15.262	1.438.682	"88,69%"	147.294	"9,08%"	36.163	"2,23%"					
Girona	496.167	264.537	"53,32%"	263.083	1.454	249.483	"94,83%"	10.382	"3,95%"	3.218	"1,22%"					
Lleida	298.14	157.501	"52,83%"	156.197	1.304	146.583	"93,84%"	7.485	"4,79%"	2.129	"1,36%"					
Tarragona	547.591	222.445	"40,62%"	220.749	1.696	205.038	"92,88%"	12.331	"5,59%"	3.38	"1,53%"					
																
Vegueries																
Alt	Pirineu	i	Aran	53.228	28.693	"53,91%"	28.415	278	26.674	"93,87%"	1.35	"4,75%"	391	"1,38%"		
Barcelona	3.605.651	1.425.607	"39,54%"	1.411.409	14.198	1.239.232	"87,80%"	138.759	"9,83%"	33.418	"2,37%"					
Catalunya	Central	374.611	217.851	"58,15%"	216.763	1.088	205.285	"94,70%"	8.638	"3,98%"	2.84	"1,31%"				
Girona	487.217	259.452	"53,25%"	258.029	1.423	244.758	"94,86%"	10.14	"3,93%"	3.131	"1,21%"					
Lleida	245.266	127.836	"52,12%"	126.803	1.033	118.799	"93,69%"	6.274	"4,95%"	1.73	"1,36%"					
Tarragona	420.74	154.904	"36,82%"	153.747	1.157	142.386	"92,61%"	8.897	"5,79%"	2.464	"1,60%"					
Terres	de	l'Ebre	126.851	67.541	"53,24%"	67.002	539	62.652	"93,51%"	3.434	"5,13%"	916	"1,37%"			
																																																																																													
	Participació	Vàlids	Resultats	definitius												
COMARCA	Cens	Votants	Particip.	Vàlids	Nuls	Sí	%	Sí	No	%	No	Blanc	%	Blc		
Alt	Camp	31.981	16.807	"52,55%"	16.698	109	15.851	"94,93%"	641	"3,84%"	206	"1,23%"				
Alt	Empordà	85.205	40.768	"47,85%"	40.481	287	38.076	"94,06%"	1.883	"4,65%"	522	"1,29%"				
