MUNICIPIS	Cens	Votants	Vàlids	Nuls	Sí	No	Blanc						
Aiguamúrcia	691	327	324	3	304	17	3						
Alcover	3.626	1.76	1.752	8	1.639	71	42						
Alió	322	226	225	1	214	8	3						
Bràfim	477	313	311	2	287	19	5						
Cabra del Camp	843	351	348	3	335	12	1						
El	Milà	144	126	126	0	118	7	1					
El	Pla	de	Santa	Maria	1.774	490	484	6	454	25	5		
El	Pont	d'Armentera	393	967	958	9	899	45	14				
El	Rourell	282	172	172	0	161	6	5					
Els	Garidells	158	253	251	2	229	19	3					
Figuerola	del	Camp	252	324	318	6	303	8	7				
La	Masó	239	163	162	1	159	3	0					
La	Riba	482	381	375	6	337	29	9					
Montferri	292	170	169	1	156	7	6						
Mont-ral	132	60	58	2	53	3	2						
Nulles	343	259	259	0	255	1	3						
Puigpelat	799	346	346	0	328	14	4						
Querol	441	135	135	0	125	8	2						
Rodonyà	373	273	271	2	254	10	7						
Vallmoll	1.276	535	532	3	487	37	8						
Valls	17.197	8.096	8.045	51	7.721	261	63						
Vilabella	577	458	457	1	441	12	4						
Vila-rodona	868	622	620	2	592	19	9						
													
MUNICIPIS	Cens	Votants	Vàlids	Nuls	Sí	No	Blanc						
Agullana	587	367	366	1	346	14	6						
Albanyà	104	123	123	0	119	3	1						
Avinyonet	de	Puigventós	1.145	752	750	2	721	20	9				
Bàscara	731	511	503	8	482	20	1						
Biure	182	114	114	0	111	3	0						
Boadella	i	les	Escaules	207	123	123	0	115	3	5			
Borrassà	544	506	501	5	482	15	4						
Cabanelles	168	155	155	0	150	5	0						
Cabanes	641	400	399	1	382	12	5						
Cadaqués	1.721	1.225	1.207	18	1.133	60	14						
Cantallops	218	152	152	0	140	10	2						
Capmany	419	267	265	2	254	4	7						
Castelló	d'Empúries	4.798	2.019	2.005	14	1.861	116	28					
Cistella	218	191	190	1	180	6	4						
Colera	370	326	321	5	298	23	0						
Darnius	424	261	257	4	246	7	4						
El	Far	d'Empordà	413	153	153	0	141	7	5				
El	Port	de	la	Selva	670	519	517	2	472	37	8		
Espolla	322	236	231	5	215	10	6						
Figueres	26.562	8.635	8.571	64	8.094	375	102						
Fortià	510	316	314	2	305	8	1						
Garrigàs	330	-	-	-	-	-	-						
Garriguella	548	445	431	14	404	22	5						
La	Jonquera	1.729	696	690	6	628	56	6					
La	Selva	de	Mar	164	141	139	2	126	12	1			
La	Vajol	64	42	42	0	41	1	0					
L'Armentera	637	573	570	3	545	8	17						
L'Escala	5.958	3.137	3.119	18	2.955	118	46						
Lladó	533	413	412	1	404	6	2						
Llançà	3.509	1.948	1.938	10	1.783	134	21						
Llers	891	514	509	5	479	19	11						
Maçanet	de	Cabrenys	571	367	365	2	355	9	1				
Masarac	194	138	138	0	128	8	2						
Mollet	de	Peralada	140	111	110	1	106	3	1				
Navata	880	667	665	2	636	22	7						
Ordis	282	226	224	2	214	8	2						
Palau	de	Santa	Eulàlia	74	183	179	4	169	8	2			
Palau-saverdera	786	480	478	2	442	29	7						
Pau	308	237	234	3	220	12	2						
Pedret	i	Marzà	133	266	266	0	250	15	1				
Peralada	1.298	967	961	6	926	25	10						
Pont	de	Molins	362	328	327	1	311	12	4				
Pontós	178	129	128	1	119	3	6						
Portbou	928	365	362	3	320	34	8						
Rabós	142	112	112	0	108	3	1						
Riumors	174	247	245	2	241	3	1						
Roses	10.737	3.582	3.567	15	3.311	236	20						
Sant	Climent	Sescebes	476	218	216	2	191	19	6				
													
MUNICIPIS	Cens	Votants	Vàlids	Nuls	Sí	No	Blanc						
Sant	Llorenç	de	la	Muga	165	141	136	5	125	8	3		
Sant	Miquel	de	Fluvià	578	-	-	-	-	-	-			
Sant	Mori	124	191	191	0	177	9	5					
Sant	Pere	Pescador	1.059	647	645	2	625	9	11				
Santa	Llogaia	d'Àlguema	263	376	374	2	345	27	2				
"Saus,"	Camallera	i	Llampaies	631	469	463	6	441	10	12			
Siurana	125	96	96	0	89	5	2						
Terrades	220	215	214	1	200	11	3						
Torroella	de	Fluvià	429	283	283	0	270	8	5				
Ventalló	551	493	491	2	455	18	18						
Vilabertran	705	441	440	1	417	17	6						
Viladamat	354	391	390	1	380	2	8						
Vilafant	4.153	1.396	1.386	10	1290	78	18						
Vilajuïga	801	366	358	8	335	19	4						
Vilamacolum	214	224	222	2	214	6	2						
Vilamalla	867	377	373	4	326	40	7						
Vilamaniscle	129	99	99	0	99	0	0						
Vilanant	288	260	258	2	239	12	7						
Vila-sacra	468	249	249	0	229	15	5						
Vilaür	101	171	169	2	161	6	2						
													
MUNICIPIS	Cens	Votants	Vàlids	Nuls	Sí	No	Blanc						
Avinyonet	del	Penedès	1.224	742	740	2	695	38	7				
Castellet	i	la	Gornal	1.73	741	737	4	674	44	19			
Castellví	de	la	Marca	1.176	828	828	0	763	43	22			
El	Pla	del	Penedès	913	697	694	3	653	32	9			
Font-rubí	1	765	758	7	724	20	14						
Gelida	5.244	2.763	2.739	24	2.503	180	56						
La	Granada	1.559	1.094	1.083	11	1.005	62	16					
Les	Cabanyes	687	462	460	2	427	28	5					
Mediona	1.698	1.077	1.067	10	999	43	25						
Olèrdola	2.599	1.487	1480	7	1.385	64	31						
Olesa	de	Bonesvalls	1.286	869	867	2	749	83	35				
Pacs	del	Penedès	696	453	452	1	404	41	7				
Pontons	358	306	306	0	282	21	3						
Puigdàlber	392	317	317	0	297	11	9						
Sant	Cugat	Sesgarrigues	728	510	507	3	476	18	13				
Sant	Llorenç	d'Hortons	1.895	1.321	1.307	14	1.215	75	17				
Sant	Martí	Sarroca	2.326	1.551	1.545	6	1.469	56	20				
